RESOURCE TYPE,RESOURCE NAME,SOURCE,IDENTIFIER,NEW/REUSE,ADDITIONAL INFORMATION
Dataset,GDTB R07-RS207 ,Github,https://github.com/shenwei356/gtdb-taxdump/releases,reuse,
Dataset,TIGRFAMs,J. Craig Venter Institute (JCVI),https://tigrfams.jcvi.org/cgi-bin/Terms.cgi (RRID:SCR_005493),reuse,
Dataset,KEGG,Kanehisa Laboratories,https://www.kegg.jp/kegg/download/ (RRID:SCR_001120),reuse,
Dataset,Clinical data ,UCL RDR (Research Data Repository),https://doi.org/10.5522/04/30710741,new,
Dataset,GBA1 gene sequencing,Journal article,10.1016/j.parkreldis.2025.107780,reuse,
Dataset,Metagenomics sequencing data ,CRN Cloud,10.5281/zenodo.18353680,new,
Dataset,Sequence alignment,CRN Cloud,10.5281/zenodo.18353680,new,
Dataset,MSP abundance table,CRN Cloud,10.5281/zenodo.18353680,new,
Dataset,hs_10_4_gut reference catalogue,"MetaGenoPolis, INRAE (National Research Institute for Agriculture, Food, and Environment)",https://zenodo.org/records/12820832,reuse,
Dataset,hs_8_4_oral reference catalogue,"MetaGenoPolis, INRAE (National Research Institute for Agriculture, Food, and Environment)",https://zenodo.org/records/14181351,reuse,
,,,,,
Protocol,Protocol for DNA extraction and shotgun metagenomic sequencing for the study of the human digestive microbiota,protocols.io,https://www.protocols.io/view/protocol-for-whole-shotgun-metagenomics-pipeline-f-5qpvo9ox7v4o/v1,new,
Protocol,Faecal sample collection instructions,protocols.io,https://www.protocols.io/view/stool-sample-collection-protocol-261gerypjl47/v1,reuse,
,,,,,
Software/code,Blast (V.2.17.0),Journal article,https://doi.org/10.1016/S0022-2836(05)80360-2,reuse,
Software/code,rstatix (V.0.7.2),R package, https://rpkgs.datanovia.com/rstatix/,reuse,
Software/code,tibble (V.3.2.1),R package,"https://github.com/tidyverse/tibble, https://tibble.tidyverse.org/",reuse,
Software/code,grid (V.4.4.1),CRAN,"Murrell, P. R Graphics. Chapman and Hall/CRC, Boca Raton, Florida.  (2005). ",reuse,
Software/code,patchwork (V.1.2.0),Github,"https://github.com/thomasp85/patchwork, https://patchwork.data-imaginist.com.",reuse,
Software/code,ComplexHeatmap (V.2.20),Journal article,https://doi.org/10.1002/imt2.43,reuse,
Software/code,circlize (V.0.4.16),R package,https://doi.org/10.1093/bioinformatics/btu393,reuse,
Software/code,eggNOG (version 3.0),Journal article,https://doi.org/10.1093/nar/gkv1248,reuse,
Software/code,TIGRFAM (version 15.0),Journal article,https://doi.org/10.1093/nar/gkg128,reuse,
Software/code,readxl (V.1.4.3),Github,"https://readxl.tidyverse.org, https://github.com/tidyverse/readxl ",reuse,
Software/code,xlsx (V.0.6.5),R package,"Dragulescu, A. & Arendt, C. xlsx: Read, Write, Format Excel 2007 and Excel 97/2000/XP/2003 Files.   ",reuse,
Software/code,reshape2 (V.1.4.4),CRAN,https://cran.r-project.org/web/packages/reshape2/index.html.   ,reuse,
Software/code,gridExtra (V.2.3),CRAN,https://CRAN.R-project.org/package=gridExtra,reuse,
Software/code,ggplot2 (V.3.5.1),Book,"Wickham, H. ggplot2: Elegant Graphics for Data Analysis.  (Springer-Verlag New York. , 2016)",reuse,
Software/code,stringr (V.1.5.1),Github," https://github.com/tidyverse/stringr, https://stringr.tidyverse.org",reuse,
Software/code,Hmisc (V.5.1.3),R package,"Harrell, F. E. Hmisc: Harrell Miscellaneous. R package version 5.2-2. Programs available from https://hbiostat.org/R/Hmisc/.  (2025). ",reuse,
Software/code,momr (v.1.31),Momr Github repository,https://forge.inrae.fr/metagenopolis/momr,reuse,
Software/code,ggpubr (v.0.6.0),CRAN,https://cran.r-project.org/web/packages/ggpubr/index.html (RRID:SCR_021139),reuse,
Software/code,dplyr (v.1.1.14),CRAN,https://cran.r-project.org/web/packages/dplyr/index.html (RRID:SCR_016708),reuse,
Software/code,stats (v.4.4.1),Ecole Polythechnique fédérale de Zurich,https://stat.ethz.ch/R-manual/R-devel/library/stats/html/00Index.html (RRID:SCR_025968),reuse,
Software/code,stringr (v.1.5.1),CRAN,https://cran.r-project.org/web/packages/stringr/index.html,reuse,
Software/code,ggpmisc (v.0.6.0),CRAN,https://cran.r-project.org/web/packages/ggpmisc/index.html,reuse,
Software/code,gtools (v.3.9.5),CRAN,https://cran.r-project.org/web/packages/gtools/index.html,reuse,
Software/code,Hmisc (v.5.1.3),CRAN,https://cran.r-project.org/web/packages/Hmisc/index.html,reuse,
Software/code,tidyr (v.1.3.1),CRAN,https://cran.r-project.org/web/packages/tidyr/index.html,reuse,
Software/code,R Code: analysis script,Software Heritage; GitHub,Software Heritage URL: https://archive.softwareheritage.org/swh:1:dir:da3286f9cde55cb28ff37fdedd02a136a81aa8f2;origin=https://github.com/metagenopolis/ASAP_human;visit=swh:1:snp:6985735c47d883dd54b406b80699ee7577455098;anchor=swh:1:rev:20a7ae645d3054e8301b7763ce1dca7613803856;   GitHub URL: https://github.com/metagenopolis/ASAP_human,new,
Software/code,R package (v.4.4.1),R project,https://www.r-project.org/ (RRID:SCR_001905),reuse,
Software/code,AlienTrimmer (v.2.0),Institut Pasteur,https://gitlab.pasteur.fr/GIPhy/AlienTrimmer,reuse,
Software/code,Bowtie2 (v.2.5.1),John Hopkins University,https://bowtie-bio.sourceforge.net/bowtie2/index.shtml,reuse,
Software/code,Meteor (v.2.0.0),"MetaGenoPolis, INRAE (National Research Institute for Agriculture, Food, and Environment)",https://github.com/metagenopolis/meteor/releases,reuse,
Software/code,Diamond (V.2.1.9),Diamond Github repository,https://github.com/bbuchfink/diamond (RRID:SCR_009457),reuse,
,,,,,
Other,Collection kit for microbiome analysis (faeces) OMNIgene•GUT | OM-200 ,"DNA Genotek, Ottawa, Ontario, Canada",https://www.dnagenotek.com/row/products/collection-microbiome/omnigene-gut/OM-200,reuse,
Other,Collection kit for DNA (Saliva) OG-500,"DNA Genotek, Ottawa, Ontario, Canada",https://www.dnagenotek.com/row/products/collection-human/oragene-dna/500-series/OG-500,reuse,
,,,,,